Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material Involved,Movement Type,History
33545,UK/CHA/53N03/2015/659,Uttarakhand,Chamoli,,,30.267306,79.150111,Rock,Slide,
33546,UK/CHA/53N03/2015/665,Uttarakhand,Chamoli,,National Highway-58,30.267306,79.180222,Rock,Slide,
33547,UK/CHA/53N03/2015/667,Uttarakhand,Chamoli,,National Highway-58,30.267551,79.188668,Rock,Flow,
33548,UK/CHA/53N03/2015/666,Uttarakhand,Chamoli,,National Highway-58,30.26825,79.182917,Rock,Slide,
33550,UK/CHA/53N03/2015/837,Uttarakhand,Chamoli,,National Highway-58,30.268694,79.224889,Rock,Slide,
33551,UK/PIT/62B04/2018/68,Uttarakhand,Chamoli,,Joshimat-Tapowan,30.268903,79.618879,Rock cum debris,Slide,2014
33552,UK/CHA/53N07/2015/1253,Uttarakhand,Chamoli,,,30.269056,79.42975,Debris,Slide,
33553,UK/CHA/53N03/2015/654,Uttarakhand,Chamoli,,,30.2695,79.158278,Rock,Slide,
33555,UK/CHA/53N03/2015/705,Uttarakhand,Chamoli,,,30.270806,79.216528,Rock,Slide,
33558,UK/CHA/53N03/2015/700,Uttarakhand,Chamoli,,,30.271167,79.220167,Rock,Slide,
33559,UK/CHA/53N03/2015/707,Uttarakhand,Chamoli,,,30.271389,79.214833,Rock,Slide,
33561,UK/CHA/53N03/2015/706,Uttarakhand,Chamoli,,,30.271556,79.212583,Rock,Slide,
33563,UK/CHA/53N03/2015/704,Uttarakhand,Chamoli,,,30.272194,79.218889,Rock,Slide,
33564,UK/CHA/53N03/2015/727,Uttarakhand,Chamoli,,,30.272444,79.215472,Rock,Slide,
33565,UK/CHA/53N03/2015/701,Uttarakhand,Chamoli,,,30.272472,79.220722,Rock,Slide,
33568,UK/CHA/53N03/2015/698,Uttarakhand,Chamoli,,,30.273306,79.222806,Rock,Slide,
33571,UK/CHA/53N03/2015/809,Uttarakhand,Chamoli,,Tiwara-Pokhri road,30.273444,79.216278,Rock,Slide,
33572,UK/CHA/53N03/2015/708,Uttarakhand,Chamoli,,,30.2735,79.216722,Rock,Slide,
33573,UK/CHA/53N03/2015/662,Uttarakhand,Chamoli,,National Highway-58,30.273643,79.16643,Debris,Slide,
33574,UK/CHA/53N03/2015/731,Uttarakhand,Chamoli,,,30.273806,79.214222,Debris,Slide,
33575,UK/CHA/53N11/2018/2,Uttarakhand,Chamoli,Sotol road,Joshimat-Tapowan,30.273956,79.605988,Rock,Slide,2014
33576,UK/CHA/53N03/2015/709,Uttarakhand,Chamoli,,,30.274056,79.216889,Rock,Slide,
33577,UK/CHA/53N11/2018/3,Uttarakhand,Chamoli,Sotol road,Joshimat-Tapowan,30.27407,79.605416,Rock,Slide,2018
